publication_id,keyword_id,score,pub_id,kw_id
221245,14199,0.335136,p221245,k14199
221245,14339,0.317708,p221245,k14339
221245,24948,0.319612,p221245,k24948
221245,48802,0.36519,p221245,k48802
224605,416,0.207396,p224605,k416
224605,8991,0.27724,p224605,k8991
224605,12142,0.363645,p224605,k12142
224605,13763,0.440421,p224605,k13763
224605,14586,0.368435,p224605,k14586
224605,24749,0.194342,p224605,k24749
224605,29027,0.155835,p224605,k29027
224605,33311,0.249742,p224605,k33311
224605,76711,0.203012,p224605,k76711
230160,17,0.424714,p230160,k17
230160,56,0.381235,p230160,k56
230160,207,0.372083,p230160,k207
230160,465,0.404209,p230160,k465
230160,722,0.401822,p230160,k722
230160,4816,0.46227,p230160,k4816
230160,5371,0.330754,p230160,k5371
230160,14199,0.386542,p230160,k14199
230160,29518,0.458991,p230160,k29518
234105,382,0.460112,p234105,k382
234105,420,0.319323,p234105,k420
234105,1598,0.352381,p234105,k1598
234105,3345,0.434867,p234105,k3345
234105,15864,0.437639,p234105,k15864
234105,23542,0.362165,p234105,k23542
234105,26472,0.316319,p234105,k26472
234105,61994,0.335961,p234105,k61994
234105,81287,0.333943,p234105,k81287
235611,212,0.260812,p235611,k212
235611,2412,0.26383,p235611,k2412
235611,5088,0.287328,p235611,k5088
235611,6436,0.304932,p235611,k6436
235611,8437,0.316612,p235611,k8437
235611,12069,0.23782,p235611,k12069
235611,33154,0.244826,p235611,k33154
235611,67347,0.32296,p235611,k67347
235611,75021,0.237283,p235611,k75021
245032,130,0.462586,p245032,k130
245032,391,0.319836,p245032,k391
245032,1253,0.320068,p245032,k1253
245032,5578,0.399107,p245032,k5578
245032,5954,0.355934,p245032,k5954
245032,9171,0.379191,p245032,k9171
245032,15007,0.32788,p245032,k15007
245032,22761,0.333949,p245032,k22761
245032,26731,0.289873,p245032,k26731
267417,214,0.340527,p267417,k214
267417,5197,0.000809024,p267417,k5197
267417,5252,0.000917393,p267417,k5252
267417,5942,0.00194807,p267417,k5942
267417,16499,0.29239,p267417,k16499
267417,23644,0.0060901,p267417,k23644
267417,30685,0.00396656,p267417,k30685
267417,49294,0.00315678,p267417,k49294
267417,60545,0.296693,p267417,k60545
269549,411,0.222481,p269549,k411
269549,425,0.445346,p269549,k425
269549,2053,0.252772,p269549,k2053
269549,3146,0.250228,p269549,k3146
269549,3251,0.293998,p269549,k3251
269549,13174,0.359064,p269549,k13174
269549,37069,0.00880211,p269549,k37069
269549,49837,0.253513,p269549,k49837
269549,51486,0.327598,p269549,k51486
277504,9,0.00776914,p277504,k9
277504,199,0.00285141,p277504,k199
277504,646,0.125685,p277504,k646
279207,207,0.408775,p279207,k207
279207,1947,0.460155,p279207,k1947
279207,4405,0.350083,p279207,k4405
279207,7687,0.599815,p279207,k7687
279207,8052,0.366064,p279207,k8052
279207,12571,0.4779,p279207,k12571
279207,26741,0.500805,p279207,k26741
279207,26828,0.516689,p279207,k26828
279207,45231,0.475602,p279207,k45231
287008,687,0.237028,p287008,k687
287008,1787,0.225842,p287008,k1787
287008,10435,0.343675,p287008,k10435
287008,11077,0.412236,p287008,k11077
287008,12669,0.227069,p287008,k12669
287008,15861,0.321367,p287008,k15861
287008,36163,0.0947435,p287008,k36163
287008,43285,0.425123,p287008,k43285
287008,61858,0.404827,p287008,k61858
301654,1127,0.00346572,p301654,k1127
301654,3276,0.502607,p301654,k3276
301654,6497,0.00152037,p301654,k6497
301654,16796,0.500923,p301654,k16796
301654,29431,0.543867,p301654,k29431
301654,40519,0.375018,p301654,k40519
309286,45,0.383565,p309286,k45
309286,76,0.399349,p309286,k76
309286,437,0.475662,p309286,k437
309286,1459,0.369286,p309286,k1459
309286,3262,0.391887,p309286,k3262
309286,3512,0.46482,p309286,k3512
309286,9430,0.475543,p309286,k9430
309286,10689,0.503025,p309286,k10689
309286,81723,0.569703,p309286,k81723
317670,332,0.241909,p317670,k332
317670,785,0.0690029,p317670,k785
317670,1095,0.110995,p317670,k1095
317670,3262,0.0858781,p317670,k3262
317670,4769,0.135521,p317670,k4769
317670,6074,0.288941,p317670,k6074
317670,16233,0.19186,p317670,k16233
317670,20321,0.138882,p317670,k20321
317670,28535,0.00725141,p317670,k28535
318662,122,0.00469403,p318662,k122
318662,1710,0.409524,p318662,k1710
318662,2788,0.239746,p318662,k2788
318662,4478,0.00253541,p318662,k4478
318662,7114,0.497612,p318662,k7114
318662,7190,0.00314063,p318662,k7190
